obsplantdate,nbjas,lai,leavesnumber,plantheight,drymatabovegroundpop,grainyieldpop,drymatabovegroundpopfin
2456847.000000,28.000000,0.320000,9.750000,17.430000,199.980000,nan,nan
2456860.000000,41.000000,0.300000,14.750000,185.180000,3371.430000,nan,nan
2456874.000000,55.000000,2.720000,19.000000,135.130000,1375.380000,nan,nan
2456888.000000,69.000000,2.810000,22.500000,203.800000,4358.590000,nan,nan
2456902.000000,83.000000,3.110000,26.500000,775.680000,15777.990000,nan,nan
2456916.000000,97.000000,2.190000,27.000000,346.000000,13604.310000,nan,nan
2456920.000000,101.000000,1.760000,nan,nan,9420.250000,nan,nan
2456958.000000,139.000000,nan,nan,nan,nan,2054.000000,25625.000000
