"obsplantdate","nbjas","lai","leavesnumber","plantheight","drymatabovegroundpop","grainyieldpop","drymatabovegroundpopfin"
2457238,19,NA,6.25,5.775,NA,NA,NA
2457239,19,NA,NA,NA,6.3,NA,NA
2457239,19,NA,NA,NA,NA,NA,NA
2457239,19,0.275,NA,NA,NA,NA,NA
2457248,28,NA,NA,NA,NA,NA,NA
2457249,29,NA,NA,NA,127.1,NA,NA
2457249,29,0.4,NA,NA,NA,NA,NA
2457253,33,NA,12.425,20.7333333333333,NA,NA,NA
2457260,40,NA,NA,NA,NA,NA,NA
2457261,41,NA,NA,NA,316.65,NA,NA
2457261,41,0.8,NA,NA,NA,NA,NA
2457270,50,NA,15.55,38.5,NA,NA,NA
2457272,52,NA,NA,NA,1084.55,NA,NA
2457272,52,NA,NA,NA,NA,NA,NA
2457272,52,0.775,NA,NA,NA,NA,NA
2457283,63,NA,NA,NA,NA,NA,NA
2457284,64,NA,NA,NA,3438.725,NA,NA
2457284,64,2.25,NA,NA,NA,NA,NA
2457285,65,NA,19.75,78.6,NA,NA,NA
2457295,75,NA,NA,NA,4908.175,NA,NA
2457295,75,1.4,NA,NA,NA,NA,NA
2457295.75,75.75,2.1,NA,NA,NA,NA,NA
2457298,78,NA,22.3,94.5,NA,NA,NA
2457302,82,NA,24.5,144,6107.45,NA,NA
2457305,85,0.8,NA,NA,8908.9,NA,NA
2457305.75,85.75,0.7,NA,NA,NA,NA,NA
2457311.5,91.5,2.9,NA,NA,NA,NA,NA
2457338.75,118.75,2.2,NA,NA,6924.66666666667,NA,NA
2457343.5,123.5,1.2,NA,NA,15843.8,NA,NA
2457340.25,121.25,NA,NA,NA,NA,1341.925,8305.45
