"obsplantdate","nbjas","lai","leavesnumber","plantheight","drymatabovegroundpop","grainyieldpop","drymatabovegroundpopfin"
2456888,32,NA,NA,NA,NA,NA,NA
2456890,34,NA,NA,NA,231.925,NA,NA
2456890,34,NA,12.025,31.25,NA,NA,NA
2456895,39,NA,NA,NA,NA,NA,NA
2456896,40,NA,14.75,59.975,NA,NA,NA
2456897,41,NA,NA,NA,1396.75,NA,NA
2456902,46,NA,16.9,96.375,NA,NA,NA
2456903,47,NA,NA,NA,NA,NA,NA
2456904,48,NA,NA,NA,3987.65,NA,NA
2456909,53,NA,18.925,148.25,NA,NA,NA
2456910,54,NA,NA,NA,NA,NA,NA
2456911,55,NA,NA,NA,4955.4,NA,NA
2456916,60,NA,20.825,202.075,NA,NA,NA
2456916,60,NA,NA,NA,NA,NA,NA
2456917,61,NA,NA,NA,5756.775,NA,NA
2456923,67,NA,22.975,267.075,NA,NA,NA
2456923,67,NA,NA,NA,NA,NA,NA
2456924,68,NA,NA,NA,7492.5,NA,NA
2456929,73,NA,NA,NA,NA,NA,NA
2456930,74,NA,NA,NA,9953.575,NA,NA
2456930,74,NA,23.575,352.875,NA,NA,NA
2456930,74,NA,NA,NA,NA,NA,NA
2456939,83,NA,NA,NA,NA,NA,NA
2456940,84,NA,NA,NA,8083.075,NA,NA
2456940,84,NA,24.325,375.875,NA,NA,NA
2456940,84,NA,NA,NA,NA,NA,NA
2456947,91,NA,NA,NA,NA,NA,NA
2456958,102,NA,NA,NA,NA,NA,NA
2456962,106,NA,NA,NA,22840.625,NA,NA
2456962,106,NA,NA,NA,NA,NA,NA
2456962,106,NA,NA,NA,NA,1591.5,12416.75
