"obsplantdate","nbjas","lai","leavesnumber","plantheight","drymatabovegroundpop","grainyieldpop","drymatabovegroundpopfin"
2456898,28,0.36,7.125,12.8225,172.4875,NA,NA
2456912,42,1.45,12.5,36.1575,2101.6625,NA,NA
2456927,57,3.2475,17.5,78.75,5379.3175,NA,NA
2456940,70,2.78,17.9375,129.4075,7736.9725,NA,NA
2456946,76,2.7675,NA,NA,8080.1725,NA,NA
2456970.25,103.5,2.39,NA,NA,NA,3556.66666666667,24411.3333333333
2456975,105,NA,NA,NA,NA,3259,19130
