"obsplantdate","nbjas","lai","leavesnumber","plantheight","drymatabovegroundpop","grainyieldpop","drymatabovegroundpopfin"
2456906,30,NA,NA,NA,96.1,NA,NA
2456906,30,NA,7,10.7,NA,NA,NA
2456906,30,NA,NA,NA,NA,NA,NA
2456912,36,NA,8.325,12.95,NA,NA,NA
2456912,36,NA,NA,NA,NA,NA,NA
2456913,37,NA,NA,NA,206.25,NA,NA
2456919,43,NA,10.175,18.425,NA,NA,NA
2456919,43,NA,NA,NA,NA,NA,NA
2456920,44,NA,NA,NA,403,NA,NA
2456925,49,NA,12.075,23.025,NA,NA,NA
2456925,49,NA,NA,NA,NA,NA,NA
2456926,50,NA,NA,NA,2072.5,NA,NA
2456931,55,NA,NA,NA,1704.075,NA,NA
2456931,55,NA,13.5,32.825,NA,NA,NA
2456931,55,NA,NA,NA,NA,NA,NA
2456936,60,NA,NA,NA,NA,NA,NA
2456941,65,NA,NA,NA,3141.7,NA,NA
2456941,65,NA,16.175,54.35,NA,NA,NA
2456941,65,NA,NA,NA,NA,NA,NA
2456946,70,NA,NA,NA,NA,NA,NA
2456948,72,NA,NA,NA,NA,NA,NA
2456951,75,NA,NA,NA,4890.575,NA,NA
2456951,75,NA,17.6,69.425,NA,NA,NA
2456960,84,NA,NA,NA,NA,NA,NA
2456979,103,NA,NA,NA,6762.1,NA,NA
2456979,103,NA,NA,NA,NA,NA,NA
2456979,103,NA,NA,NA,NA,1064,9306.5
