"obsplantdate","nbjas","lai","leavesnumber","plantheight","drymatabovegroundpop","grainyieldpop","drymatabovegroundpopfin"
2457616,21,NA,9.575,13.95,NA,NA,NA
2457619,24,NA,NA,NA,93.23,NA,NA
2457619,24,0.45,NA,NA,NA,NA,NA
2457633,38,NA,15.9,42.625,NA,NA,NA
2457640,45,NA,NA,NA,1850.5225,NA,NA
2457640,45,1.8,NA,NA,NA,NA,NA
2457655,62,NA,21.425,146.925,NA,NA,NA
2457660.75,66.25,NA,21.5,163.6,10359.7733333333,NA,NA
2457661,66,2.96666666666667,NA,NA,13516.46,NA,NA
2457667.75,72.75,4.5,21.5,132.5,9169.015,NA,NA
2457673,78,1.95,NA,NA,9651.265,NA,NA
2457678,83,3.15,NA,NA,NA,2879,9194.5
