"obsplantdate","nbjas","lai","leavesnumber","plantheight","drymatabovegroundpop","grainyieldpop","drymatabovegroundpopfin"
2457263.25,20.25,NA,NA,NA,NA,NA,NA
2457264,21,0.4,NA,NA,10.45,NA,NA
2457267,24,0.4,NA,NA,197.9,NA,NA
2457275.25,32.25,0.5,NA,NA,NA,NA,NA
2457278.5,35.5,NA,NA,NA,248.45,NA,NA
2457278.5,35.5,0.525,NA,NA,NA,NA,NA
2457290.75,47.75,NA,NA,NA,588.2,NA,NA
2457291,48,0.633333333333333,NA,NA,4489.6,NA,NA
2457305.25,62.25,1.8,NA,NA,NA,NA,NA
2457310,67,NA,NA,NA,4536.45,NA,NA
2457310,67,1.7,NA,NA,NA,NA,NA
2457326,83,NA,NA,NA,11420.975,NA,NA
2457326,83,NA,NA,NA,NA,NA,NA
2457329.25,86.25,1.6,NA,NA,NA,1923.5,9670.3
