"obsplantdate","nbjas","lai","leavesnumber","plantheight","drymatabovegroundpop","grainyieldpop","drymatabovegroundpopfin"
2456862,30,1.075,11.1875,56.8125,282.725,NA,NA
2456877,45,2.055,15.4375,105.5625,925.125,NA,NA
2456892,60,1.9475,18.5,113.5,2344.055,NA,NA
2456906,74,3,21.9375,163.75,9335.73,NA,NA
2456923,90,3.0425,21.9375,163.75,8019.435,NA,NA
2456937,106,2.685,29.875,311.1875,11167.2,NA,NA
2456952,121,3.16,30.75,403.6875,11959.08,NA,NA
2456967,136,2.3975,30.75,413.23,9635.71,NA,NA
2456976,144,NA,NA,NA,NA,1107.25,27117.25
