"obsplantdate","nbjas","lai","leavesnumber","plantheight","drymatabovegroundpop","grainyieldpop","drymatabovegroundpopfin"
2456906,30,NA,NA,NA,96.45,NA,NA
2456906,30,NA,6.825,10.125,NA,NA,NA
2456906,30,NA,NA,NA,NA,NA,NA
2456912,36,NA,8.35,11.8,NA,NA,NA
2456912,36,NA,NA,NA,NA,NA,NA
2456913,37,NA,NA,NA,263.6,NA,NA
2456919,43,NA,11.15,18.95,NA,NA,NA
2456919,43,NA,NA,NA,NA,NA,NA
2456920,44,NA,NA,NA,442.533333333333,NA,NA
2456925,49,NA,13.25,34.6,NA,NA,NA
2456925,49,NA,NA,NA,NA,NA,NA
2456926,50,NA,NA,NA,888.4,NA,NA
2456931,55,NA,NA,NA,1336.775,NA,NA
2456931,55,NA,15.825,55.15,NA,NA,NA
2456931,55,NA,NA,NA,NA,NA,NA
2456941,65,NA,NA,NA,2984.45,NA,NA
2456941,65,NA,18.425,100.9,NA,NA,NA
2456941,65,NA,NA,NA,NA,NA,NA
2456944,68,NA,NA,NA,NA,NA,NA
2456948,72,NA,NA,NA,NA,NA,NA
2456949,73,NA,NA,NA,4935.775,NA,NA
2456949,73,NA,18.825,129.775,NA,NA,NA
2456954,78,NA,NA,NA,NA,NA,NA
2456960,84,NA,NA,NA,7765.725,NA,NA
2456960,84,NA,18.575,136.825,NA,NA,NA
2456960,84,NA,NA,NA,NA,NA,NA
2456984,108,NA,NA,NA,11819.975,NA,NA
2456984,108,NA,NA,NA,NA,NA,NA
2456984,108,NA,NA,NA,NA,900.25,7545.25
