"obsplantdate","nbjas","lai","leavesnumber","plantheight","drymatabovegroundpop","grainyieldpop","drymatabovegroundpopfin"
2457616,21,NA,9.475,12.025,NA,NA,NA
2457619,24,NA,NA,NA,131.943333333333,NA,NA
2457619,24,0.525,NA,NA,NA,NA,NA
2457633,38,NA,16.575,41.525,NA,NA,NA
2457640,45,NA,NA,NA,1760.765,NA,NA
2457640,45,1.625,NA,NA,NA,NA,NA
2457658,65,NA,24.45,146.725,NA,NA,NA
2457666,71,NA,NA,NA,8472.48,NA,NA
2457666,71,3.56666666666667,23.8,189.3,NA,NA,NA
2457667.5,72.5,4.5,24.9333333333333,187.133333333333,NA,NA,NA
2457677,82,NA,NA,NA,10125.59,NA,NA
2457677,82,2.925,NA,NA,NA,NA,NA
2457688,93,NA,NA,NA,NA,2946.5,13367.25
