"obsplantdate","nbjas","lai","leavesnumber","plantheight","drymatabovegroundpop","grainyieldpop","drymatabovegroundpopfin"
2457616,21,NA,10.525,14.075,NA,NA,NA
2457619,24,NA,NA,NA,166.6675,NA,NA
2457619,24,0.7,NA,NA,NA,NA,NA
2457633,38,NA,17.4,74.825,NA,NA,NA
2457640,45,NA,NA,NA,2307.3375,NA,NA
2457640,45,2.65,NA,NA,NA,NA,NA
2457658,65,NA,24.075,297.25,NA,NA,NA
2457666,71,NA,NA,NA,10446.7875,NA,NA
2457666,71,3.1,24.9333333333333,372.066666666667,NA,NA,NA
2457666.5,71.5,3.7,24,354.8,NA,NA,NA
2457677,82,NA,NA,NA,10502.55,NA,NA
2457677,82,2.575,NA,NA,NA,NA,NA
2457692,97,NA,NA,NA,NA,1779.5,11665
