"obsplantdate","nbjas","lai","leavesnumber","plantheight","drymatabovegroundpop","grainyieldpop","drymatabovegroundpopfin"
2456842,26,0.1825,6.25,7.9925,97.6525,NA,NA
2456856,40,0.7425,11.1875,16.395,288.33,NA,NA
2456870,54,1.39,16.75,48.21,2593.635,NA,NA
2456883,67,3.445,17.0625,54.585,5179.04,NA,NA
2456898,82,3.1375,23.6875,105.5,5233.075,NA,NA
2456913,97,1.5375,25.5,152.25,4207.5175,NA,NA
2456926,110,2.38666666666667,NA,NA,8398.02,NA,NA
2456959,143,3.16,NA,NA,NA,1311,15390.6666666667
2456965,149,NA,NA,NA,NA,1783,24409
