"obsplantdate","nbjas","lai","leavesnumber","plantheight","drymatabovegroundpop","grainyieldpop","drymatabovegroundpopfin"
2456888,32,NA,NA,NA,NA,NA,NA
2456890,34,NA,NA,NA,456.675,NA,NA
2456890,34,NA,11.675,22.4,NA,NA,NA
2456895,39,NA,NA,NA,NA,NA,NA
2456896,40,NA,14.325,38.875,NA,NA,NA
2456897,41,NA,NA,NA,816.95,NA,NA
2456902,46,NA,16.475,56.625,NA,NA,NA
2456903,47,NA,NA,NA,NA,NA,NA
2456904,48,NA,NA,NA,1772.075,NA,NA
2456909,53,NA,18.925,79,NA,NA,NA
2456910,54,NA,NA,NA,NA,NA,NA
2456911,55,NA,NA,NA,2966.1,NA,NA
2456916,60,NA,21.075,105.3,NA,NA,NA
2456916,60,NA,NA,NA,NA,NA,NA
2456917,61,NA,NA,NA,4200.05,NA,NA
2456923,67,NA,23.4,142.1,NA,NA,NA
2456923,67,NA,NA,NA,NA,NA,NA
2456924,68,NA,NA,NA,5626.925,NA,NA
2456930,74,NA,NA,NA,7401.55,NA,NA
2456930,74,NA,24.15,195.525,NA,NA,NA
2456930,74,NA,NA,NA,NA,NA,NA
2456931,75,NA,NA,NA,NA,NA,NA
2456940,84,NA,NA,NA,8036.875,NA,NA
2456940,84,NA,24.25,199.275,NA,NA,NA
2456940,84,NA,NA,NA,NA,NA,NA
2456941,85,NA,NA,NA,NA,NA,NA
2456947,91,NA,NA,NA,NA,NA,NA
2456958,102,NA,NA,NA,NA,NA,NA
2456962,106,NA,NA,NA,17791.6,NA,NA
2456962,106,NA,NA,NA,NA,NA,NA
2456962,106,NA,NA,NA,NA,2307.25,10672.75
