"obsplantdate","nbjas","lai","leavesnumber","plantheight","drymatabovegroundpop","grainyieldpop","drymatabovegroundpopfin"
2457218,31,0.3975,7.625,13.4175,177.625,NA,NA
2457232,45,0.7975,12.1875,33.625,1154.05,NA,NA
2457246,59,1.7975,16.4375,81.125,3107.5,NA,NA
2457260,73,2.275,20.4775,151.9575,5495.025,NA,NA
2457268.75,80.75,NA,21,201.75,9446.075,NA,NA
2457275,87,1.5,21.4433333333333,205.25,9221.8,NA,NA
2457282.5,94.5,2.02,NA,NA,10148.6,NA,NA
2457298.25,110.5,1.63333333333333,NA,NA,NA,1935,10102
