"obsplantdate","nbjas","lai","leavesnumber","plantheight","drymatabovegroundpop","grainyieldpop","drymatabovegroundpopfin"
2457238,19,NA,6.775,6.525,NA,NA,NA
2457239,19,NA,NA,NA,8.35,NA,NA
2457239,19,NA,NA,NA,NA,NA,NA
2457239,19,0.2,NA,NA,NA,NA,NA
2457248,28,NA,NA,NA,NA,NA,NA
2457249,29,NA,NA,NA,120.8,NA,NA
2457249,29,0.5,NA,NA,NA,NA,NA
2457253,33,NA,12.4,20.125,NA,NA,NA
2457260,40,NA,NA,NA,NA,NA,NA
2457261,41,NA,NA,NA,368.8,NA,NA
2457261,41,0.85,NA,NA,NA,NA,NA
2457270,50,NA,14.825,37.2,NA,NA,NA
2457272,52,NA,NA,NA,928.633333333333,NA,NA
2457272,52,NA,NA,NA,NA,NA,NA
2457272,52,0.875,NA,NA,NA,NA,NA
2457283,63,NA,NA,NA,NA,NA,NA
2457284,64,NA,NA,NA,2347.925,NA,NA
2457284,64,1.8,NA,NA,NA,NA,NA
2457285,65,NA,18.65,83.625,NA,NA,NA
2457296,76,NA,NA,NA,NA,NA,NA
2457297,77,NA,NA,NA,3432.075,NA,NA
2457297,77,1.4,NA,NA,NA,NA,NA
2457299,79,NA,22.35,117.9,NA,NA,NA
2457307.25,87.25,NA,NA,NA,5112.4,NA,NA
2457309,89,1.2,NA,NA,5334.05,NA,NA
2457310.5,90.5,1.5,NA,NA,NA,NA,NA
2457317.25,97.25,NA,NA,NA,10067.5,NA,NA
2457319,99,1.2,NA,NA,9693.35,NA,NA
2457320.5,100.5,1.3,NA,NA,NA,NA,NA
2457341,121,1.5,NA,NA,10120.7,NA,NA
2457343,123,1.15,NA,NA,8917.85,NA,NA
2457342,123,NA,NA,NA,NA,1122.25,5953.775
