"obsplantdate","nbjas","lai","leavesnumber","plantheight","drymatabovegroundpop","grainyieldpop","drymatabovegroundpopfin"
2457238,19,NA,6.25,4.375,NA,NA,NA
2457239,19,NA,NA,NA,NA,NA,NA
2457239,19,NA,NA,NA,NA,NA,NA
2457239,19,0.25,NA,NA,NA,NA,NA
2457248,28,NA,NA,NA,NA,NA,NA
2457249,29,NA,NA,NA,217.2,NA,NA
2457249,29,0.5,NA,NA,NA,NA,NA
2457253,33,NA,14,18.85,NA,NA,NA
2457260,40,NA,NA,NA,NA,NA,NA
2457261,41,NA,NA,NA,955.933333333333,NA,NA
2457261,41,1.325,NA,NA,NA,NA,NA
2457270,50,NA,17.275,60.575,NA,NA,NA
2457272,52,NA,NA,NA,1714.325,NA,NA
2457272,52,NA,NA,NA,NA,NA,NA
2457272,52,1.675,NA,NA,NA,NA,NA
2457283,63,NA,NA,NA,NA,NA,NA
2457284,64,NA,NA,NA,2817.75,NA,NA
2457284,64,2.625,NA,NA,NA,NA,NA
2457285,65,NA,24.825,147.525,NA,NA,NA
2457296,76,NA,NA,NA,NA,NA,NA
2457297,77,NA,NA,NA,3951.075,NA,NA
2457297,77,2.2,NA,NA,NA,NA,NA
2457299,79,NA,25.925,255.2,NA,NA,NA
2457304.25,84.25,NA,NA,NA,NA,NA,NA
2457311,91,NA,NA,NA,8247.875,NA,NA
2457311,91,2.15,NA,NA,NA,NA,NA
2457314.25,94.25,NA,NA,NA,NA,NA,NA
2457321,101,NA,NA,NA,13538.9,NA,NA
2457321,101,2.225,NA,NA,NA,NA,NA
2457339.25,119.25,1.2,NA,NA,14716.15,NA,NA
2457341.5,121.5,2.2,NA,NA,13306.65,NA,NA
2457339.75,120.75,NA,NA,NA,NA,1431.725,8592.35
