"obsplantdate","nbjas","lai","leavesnumber","plantheight","drymatabovegroundpop","grainyieldpop","drymatabovegroundpopfin"
2456888,32,NA,NA,NA,NA,NA,NA
2456890,34,NA,NA,NA,358.6,NA,NA
2456890,34,NA,13,26.3,NA,NA,NA
2456895,39,NA,NA,NA,NA,NA,NA
2456896,40,NA,15.75,44.925,NA,NA,NA
2456897,41,NA,NA,NA,1157.85,NA,NA
2456902,46,NA,17.5,65.35,NA,NA,NA
2456903,47,NA,NA,NA,NA,NA,NA
2456904,48,NA,NA,NA,3152.825,NA,NA
2456909,53,NA,19.825,95.2,NA,NA,NA
2456910,54,NA,NA,NA,NA,NA,NA
2456911,55,NA,NA,NA,5159.875,NA,NA
2456916,60,NA,22.475,143.55,NA,NA,NA
2456916,60,NA,NA,NA,NA,NA,NA
2456917,61,NA,NA,NA,6723.175,NA,NA
2456923,67,NA,24.85,186.675,NA,NA,NA
2456923,67,NA,NA,NA,NA,NA,NA
2456924,68,NA,NA,NA,10540.875,NA,NA
2456930,74,NA,NA,NA,12864.075,NA,NA
2456930,74,NA,26.45,247.05,NA,NA,NA
2456930,74,NA,NA,NA,NA,NA,NA
2456937,81,NA,NA,NA,NA,NA,NA
2456940,84,NA,NA,NA,15365.2,NA,NA
2456940,84,NA,26.4,290.2,NA,NA,NA
2456940,84,NA,NA,NA,NA,NA,NA
2456947,91,NA,NA,NA,NA,NA,NA
2456947,91,NA,NA,NA,NA,NA,NA
2456950,94,NA,NA,NA,15669.725,NA,NA
2456950,94,NA,26.25,290.2,NA,NA,NA
2456958,102,NA,NA,NA,NA,NA,NA
2456962,106,NA,NA,NA,21509.025,NA,NA
2456962,106,NA,NA,NA,NA,NA,NA
2456962,106,NA,NA,NA,NA,1604,14056.5
