"obsplantdate","nbjas","lai","leavesnumber","plantheight","drymatabovegroundpop","grainyieldpop","drymatabovegroundpopfin"
2456483,25,0.8525,8.5625,59.1875,260,NA,NA
2456493,35,1.7025,11.5,93.75,1260,NA,NA
2456503,45,2.76,13.6875,125.375,4046.665,NA,NA
2456517,59,4.1,16,150.9375,17620,NA,NA
2456527,69,3.5325,20.6875,184.6875,19370,NA,NA
2456538,80,NA,23.8125,206.25,21093.335,NA,NA
2456552,94,NA,24.875,210.375,18166.6675,NA,NA
2456583,125,NA,NA,NA,NA,2823,23306.25
