"obsplantdate","nbjas","lai","leavesnumber","plantheight","drymatabovegroundpop","grainyieldpop","drymatabovegroundpopfin"
2457238,19,NA,7.025,7.775,NA,NA,NA
2457239,19,NA,NA,NA,4.2,NA,NA
2457239,19,NA,NA,NA,NA,NA,NA
2457239,19,0.225,NA,NA,NA,NA,NA
2457248,28,NA,NA,NA,NA,NA,NA
2457249,29,NA,NA,NA,231.425,NA,NA
2457249,29,0.45,NA,NA,NA,NA,NA
2457253,33,NA,13.575,19.5,NA,NA,NA
2457260,40,NA,NA,NA,NA,NA,NA
2457261,41,NA,NA,NA,392.2,NA,NA
2457261,41,0.775,NA,NA,NA,NA,NA
2457270,50,NA,17.25,60.375,NA,NA,NA
2457272,52,NA,NA,NA,1051.1,NA,NA
2457272,52,NA,NA,NA,NA,NA,NA
2457272,52,1.125,NA,NA,NA,NA,NA
2457283,63,NA,NA,NA,NA,NA,NA
2457284,64,NA,NA,NA,2814.36666666667,NA,NA
2457284,64,2.325,NA,NA,NA,NA,NA
2457285,65,NA,22.5,102.65,NA,NA,NA
2457296,76,NA,NA,NA,NA,NA,NA
2457297,77,NA,NA,NA,4472.775,NA,NA
2457297,77,2.525,NA,NA,NA,NA,NA
2457299,79,NA,27,185.95,NA,NA,NA
2457308,88,NA,NA,NA,NA,NA,NA
2457310.75,90.75,NA,NA,NA,6737.53333333333,NA,NA
2457311,91,1.83333333333333,NA,NA,11415.2,NA,NA
2457314,94,2.7,NA,NA,8190.8,NA,NA
2457315.75,95.75,3.4,NA,NA,9345.25,NA,NA
2457317.25,97.25,1.5,NA,NA,13049.6,NA,NA
2457323,103,2.2,NA,NA,19034.4,NA,NA
2457327,107,2.2,NA,NA,14432.3666666667,NA,NA
2457327.25,107.25,1.86666666666667,NA,NA,NA,NA,NA
2457344,124,1.9,NA,NA,15296.1,NA,NA
2457348.75,128.75,2.23333333333333,NA,NA,14725.8,NA,NA
2457347.75,128.75,NA,NA,NA,NA,2416.7,17257.85
