"obsplantdate","nbjas","lai","leavesnumber","plantheight","drymatabovegroundpop","grainyieldpop","drymatabovegroundpopfin"
2457616,21,NA,9.4,12.775,NA,NA,NA
2457619,24,NA,NA,NA,115.105,NA,NA
2457619,24,0.5,NA,NA,NA,NA,NA
2457633,38,NA,16.1,46.15,NA,NA,NA
2457640,45,NA,NA,NA,2065.8025,NA,NA
2457640,45,2,NA,NA,NA,NA,NA
2457658,65,NA,24.075,173.575,NA,NA,NA
2457666,71,NA,NA,NA,7318.885,NA,NA
2457666,71,1.6,24.5333333333333,215.266666666667,NA,NA,NA
2457666.5,71.5,3.2,24,210.8,NA,NA,NA
2457677,82,NA,NA,NA,9770.60333333333,NA,NA
2457677,82,2,NA,NA,NA,NA,NA
2457688,93,NA,NA,NA,NA,2412.25,9198.75
