"obsplantdate","nbjas","lai","leavesnumber","plantheight","drymatabovegroundpop","grainyieldpop","drymatabovegroundpopfin"
2457616,21,NA,8.9,10.375,NA,NA,NA
2457619,24,NA,NA,NA,57.2925,NA,NA
2457619,24,0.375,NA,NA,NA,NA,NA
2457633,38,NA,15.9,28.1,NA,NA,NA
2457640,45,NA,NA,NA,1025.52,NA,NA
2457640,45,1.525,NA,NA,NA,NA,NA
2457658,65,NA,26.575,88.425,NA,NA,NA
2457675,80,NA,28.15,158.325,NA,NA,NA
2457677,82,NA,NA,NA,7812.085,NA,NA
2457677,82,3.55,NA,NA,NA,NA,NA
2457686,91,NA,NA,NA,10632.12,NA,NA
2457686,91,3.525,NA,NA,NA,NA,NA
2457694,99,NA,NA,NA,NA,1905.25,10358
