"obsplantdate","nbjas","lai","leavesnumber","plantheight","drymatabovegroundpop","grainyieldpop","drymatabovegroundpopfin"
2456906,30,NA,NA,NA,142.9,NA,NA
2456906,30,NA,7.7,13.475,NA,NA,NA
2456906,30,NA,NA,NA,NA,NA,NA
2456912,36,NA,10,17.475,NA,NA,NA
2456912,36,NA,NA,NA,NA,NA,NA
2456913,37,NA,NA,NA,328.625,NA,NA
2456919,43,NA,12.875,32.25,NA,NA,NA
2456919,43,NA,NA,NA,NA,NA,NA
2456920,44,NA,NA,NA,634.5,NA,NA
2456925,49,NA,15.625,50.75,NA,NA,NA
2456925,49,NA,NA,NA,NA,NA,NA
2456926,50,NA,NA,NA,1149.1,NA,NA
2456931,55,NA,NA,NA,2204.93333333333,NA,NA
2456931,55,NA,17.7,75.375,NA,NA,NA
2456931,55,NA,NA,NA,NA,NA,NA
2456941,65,NA,NA,NA,4796.65,NA,NA
2456941,65,NA,20.975,124.625,NA,NA,NA
2456941,65,NA,NA,NA,NA,NA,NA
2456947,71,NA,NA,NA,NA,NA,NA
2456948,72,NA,NA,NA,NA,NA,NA
2456949,73,NA,NA,NA,6142.725,NA,NA
2456949,73,NA,21.25,149.575,NA,NA,NA
2456957,81,NA,NA,NA,NA,NA,NA
2456960,84,NA,NA,NA,8126.45,NA,NA
2456960,84,NA,21.325,157.875,NA,NA,NA
2456960,84,NA,NA,NA,NA,NA,NA
2456984,108,NA,NA,NA,13027.175,NA,NA
2456984,108,NA,NA,NA,NA,NA,NA
2456984,108,NA,NA,NA,NA,1326.25,10053.75
