"obsplantdate","nbjas","lai","leavesnumber","plantheight","drymatabovegroundpop","grainyieldpop","drymatabovegroundpopfin"
2456863,27,0.1525,7.9375,10.4525,114.27,NA,NA
2456877,41,0.8175,13.5,28.9825,468.29,NA,NA
2456891,55,2.1725,17.875,90.8125,1127.285,NA,NA
2456905,69,3.1975,21,182.25,14298.2825,NA,NA
2456919,83,3.36666666666667,23.375,265.47,12420.415,NA,NA
2456934,98,2.13,28.25,346.25,14175.6025,NA,NA
2456946,110,2.25333333333333,NA,NA,7320.1525,NA,NA
2456958,122,1.28,NA,NA,16605.4866666667,NA,NA
2456945,109,NA,NA,NA,NA,949,22820.25
