"obsplantdate","nbjas","lai","leavesnumber","plantheight","drymatabovegroundpop","grainyieldpop","drymatabovegroundpopfin"
2457616,21,NA,10.05,14.825,NA,NA,NA
2457619,24,NA,NA,NA,98.44,NA,NA
2457619,24,0.55,NA,NA,NA,NA,NA
2457633,38,NA,16.825,45.275,NA,NA,NA
2457640,45,NA,NA,NA,2067.2525,NA,NA
2457640,45,1.9,NA,NA,NA,NA,NA
2457658,65,NA,24.575,194.725,NA,NA,NA
2457672,77,NA,30.65,310.8,NA,NA,NA
2457687,92,NA,31.15,353.775,NA,NA,NA
2457692.5,97.5,NA,31.525,383.575,NA,NA,NA
2457697,102,NA,NA,NA,18851.905,NA,NA
2457697,102,2.4575,NA,NA,NA,NA,NA
2457710,115,NA,NA,NA,16478.3975,NA,NA
2457710,115,2.1,NA,NA,NA,NA,NA
2457718,123,NA,NA,NA,NA,1882.5,17275.25
