"obsplantdate","nbjas","lai","leavesnumber","plantheight","drymatabovegroundpop","grainyieldpop","drymatabovegroundpopfin"
2456842,26,0.2325,7.625,10.285,115.9975,NA,NA
2456856,40,0.94,12.375,19.115,655.9325,NA,NA
2456870,54,1.8875,16.5,76.6275,3174.6575,NA,NA
2456883,67,3.34,17.625,112.3275,6132.7,NA,NA
2456898,82,2.9,22.25,246.9025,7249.8325,NA,NA
2456913,97,2.60666666666667,23.5625,337.5,9938.99333333333,NA,NA
2456926,110,2.36,NA,NA,11648.405,NA,NA
2456966,150,NA,NA,NA,NA,315.25,15779.75
