"obsplantdate","nbjas","lai","leavesnumber","plantheight","drymatabovegroundpop","grainyieldpop","drymatabovegroundpopfin"
2456862,30,0.71,10.3125,58.125,98.065,NA,NA
2456877,45,1.9075,12.1625,93.375,677.875,NA,NA
2456892,60,2.66,16,103.875,1760.78,NA,NA
2456906,74,3.36,20.25,136.25,4504.68,NA,NA
2456923,90,2.865,20.25,136.25,8317.3725,NA,NA
2456937,106,2.9775,22.8125,205.3125,14510.6175,NA,NA
2456958,126,NA,NA,NA,NA,3112.25,10811.5
